,#,Transaction Date,Owner,Ticker,Asset Name,Asset Type,Type,Amount,Comment,Senator
0,10,06/15/2017,Spouse,--,"Shelby County Tenn Health EDL & Rev
Rate/Coupon: 5.25%
Matures: 09/01/2023",Municipal Security,Sale (Full),"$50,001 - $100,000",--,"Lamar,Alexander"
1,9,06/15/2017,Spouse,--,"Robertson County TN Go Bond
Rate/Coupon: 5.00%
Matures: 05/01/2022",Municipal Security,Sale (Full),"$15,001 - $50,000",--,"Lamar,Alexander"
2,8,06/15/2017,Spouse,--,"Robertson CNTY Tenn Go REF BDS
Rate/Coupon: 3.00%
Matures: 04/01/2025",Municipal Security,Sale (Full),"$15,001 - $50,000",--,"Lamar,Alexander"
3,7,06/15/2017,Spouse,--,"Metropolitan Nashville ARPT AU ARPT
Rate/Coupon: 5.00%
Matures: 07/01/2040",Municipal Security,Sale (Full),"$15,001 - $50,000",--,"Lamar,Alexander"
4,6,06/15/2017,Spouse,--,"Metropolitan Govt Nashville & REF BDS
Rate/Coupon: 5.00%
Matures: 05/15/2019",Municipal Security,Sale (Full),"$15,001 - $50,000",--,"Lamar,Alexander"
5,5,06/15/2017,Spouse,--,"Memphis TN Sewer System
Rate/Coupon: 4.20%
Matures: 10/01/2022",Municipal Security,Sale (Full),"$50,001 - $100,000",--,"Lamar,Alexander"
6,4,06/15/2017,Spouse,--,"Lakeland Tenn Go Cap Outlay NTS
Rate/Coupon: 5.00%
Matures: 03/01/2020",Municipal Security,Sale (Full),"$15,001 - $50,000",--,"Lamar,Alexander"
7,3,06/15/2017,Spouse,--,"Kingsport Tenn Go Bond
Rate/Coupon: 3.00%
Matures: 03/01/2029",Municipal Security,Sale (Full),"$50,001 - $100,000",--,"Lamar,Alexander"
8,2,06/15/2017,Spouse,--,"Clarksville TN Electric
Rate/Coupon: 5.00%
Matures: 09/01/2022",Municipal Security,Sale (Full),"$15,001 - $50,000",--,"Lamar,Alexander"
9,1,06/15/2017,Spouse,--,"Chattanooga Tenn Go REF BDS
Rate/Coupon: 5.00%
Matures: 09/01/2019",Municipal Security,Sale (Full),"$15,001 - $50,000",--,"Lamar,Alexander"
10,2,11/10/2016,Spouse,--,"Chattanooga Tenn GO REF BDS
Rate/Coupon: 5.00%
Matures: 09/01/2019",Municipal Security,Purchase,"$15,001 - $50,000",--,"Lamar,Alexander"
11,1,11/08/2016,Spouse,--,"Metropolitan Govt Nashville & REF BDS
Rate/Coupon: 5.00%
Matures: 05/15/2019",Municipal Security,Purchase,"$15,001 - $50,000",--,"Lamar,Alexander"
12,7,10/23/2017,Spouse,--,"Metropolitan Gov't Nashville & Go REF BDS
Rate/Coupon: 5.00%
Matures: 01/01/2024",Municipal Security,Purchase,"$50,001 - $100,000",--,"Lamar,Alexander"
13,6,10/19/2017,Spouse,--,"Maury County Tenn Go Sch BDS
Rate/Coupon: 5.00%
Matures: 04/01/2023",Municipal Security,Purchase,"$50,001 - $100,000",--,"Lamar,Alexander"
14,5,10/16/2017,Spouse,--,"Chattanooga Tenn Elec Rev Ref BDS
Rate/Coupon: 5.00%
Matures: 09/01/2023",Municipal Security,Purchase,"$50,001 - $100,000",--,"Lamar,Alexander"
